navn	nodhavnnummer	kategori	lenke_faktaark	forvaltningsstatus	iua	fylke	kommune	informasjon	geom_wkt
Hukkelbergbukta                                                                                     	3154701	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3154701_Hukkelbergbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                        	Vedtatt                                                                                             	Romsdal                                           	Møre og Romsdal                                   	Aukra                                             		POINT(6.915500002631925 62.799833000123954)
Fannefjorden, Hjelset                                                                               	3150203	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3150203_Fannefjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Romsdal                                           	Møre og Romsdal                                   	Molde                                             		POINT(7.427833332272731 62.76400000009636)
Karløyfjorden                                                                                       	3150200	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3150200_Karloeyfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                         	Vedtatt                                                                                             	Romsdal                                           	Møre og Romsdal                                   	Molde                                             		POINT(7.370500001801765 62.725500000305814)
Nesjestranda/Hamnavika                                                                              	3150201	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3150201_Nesjestranda_Hamnavika.pdf' target='_blank' >FAKTAARK HER<a>                                                                 	Vedtatt                                                                                             	Romsdal                                           	Møre og Romsdal                                   	Molde                                             		POINT(7.436666702186598 62.693333299988915)
Norvikbukta                                                                                         	3153902	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3153902_Norvikbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                            	Vedtatt                                                                                             	Romsdal                                           	Møre og Romsdal                                   	Rauma                                             		POINT(7.457000001557548 62.58316670037549)
Isfjorden/Åndalsnes                                                                                 	3153901	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3153901_Isfjorden_Aandalsnes.pdf' target='_blank' >FAKTAARK HER<a>                                                                   	Vedtatt                                                                                             	Romsdal                                           	Møre og Romsdal                                   	Rauma                                             		POINT(7.700000001872927 62.576666999868834)
Tresfjorden                                                                                         	3153502	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3153502_Tresfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                            	Vedtatt                                                                                             	Romsdal                                           	Møre og Romsdal                                   	Vestnes                                           		POINT(7.140333301842815 62.56283329963953)
Tomrefjorden                                                                                        	3153501	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3153501_Tomrefjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Romsdal                                           	Møre og Romsdal                                   	Vestnes                                           		POINT(6.915000003635736 62.608333300200236)
Gangstøvika/ Flatholmen                                                                             	3150401	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3150401_Gangstoevika.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Sunnmøre                                          	Møre og Romsdal                                   	Ålesund                                           		POINT(6.228833335354805 62.48050000057721)
Hareid                                                                                              	3151501	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3151501_Hareid.pdf' target='_blank' >FAKTAARK HER<a>                                                                                 	Vedtatt                                                                                             	Sunnmøre                                          	Møre og Romsdal                                   	Hareid                                            		POINT(6.042333305646256 62.36866669999055)
Gursken                                                                                             	3151401	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3151401_Gursken.pdf' target='_blank' >FAKTAARK HER<a>                                                                                	Vedtatt                                                                                             	Sunnmøre                                          	Møre og Romsdal                                   	Sande i Møre og Romsdal                           		POINT(5.571500008576352 62.23033300056844)
Syvdefjorden                                                                                        	3151102	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3151102_Syvdefjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Sunnmøre                                          	Møre og Romsdal                                   	Vanylven                                          		POINT(5.673333009041556 62.15166670041843)
Vanylvsfjorden                                                                                      	3151101	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3151101_Vanylvsfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                         	Vedtatt                                                                                             	Sunnmøre                                          	Møre og Romsdal                                   	Vanylven                                          		POINT(5.52100000958036 62.094000000371665)
Snarbybukta                                                                                         	14	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Snarbybuktax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Tromsø                                            		POINT(19.561666666642996 69.80166666666697)
Breivika                                                                                            	15	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Breivikax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Tromsø                                            		POINT(18.98499999999071 69.67333333333343)
Manndalsbukt                                                                                        	8	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Manndalsbuktx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Kåfjord                                           		POINT(20.548333333235185 69.55000000000159)
Helgøy syd                                                                                          	9	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Helgoy_sydx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Karlsøy                                           		POINT(19.369999999983257 70.10833333333353)
Gaukværøya                                                                                          	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gaukvaeroya.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Bø i Nordland                                     		POINT(14.356583081805136 68.61717809330023)
Jenneset                                                                                            	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Jenneset V.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Bø i Nordland                                     		POINT(14.602265471150508 68.77617580980177)
Langfjord/Akkarvik                                                                                  	4	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Langfjord_Akkarvikx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                    	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Skjervøy                                          		POINT(20.52833333324447 70.05833333333472)
Veggefjord                                                                                          	10	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Veggefjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Karlsøy                                           		POINT(19.21499999998694 70.06666666666682)
Spilderbukta                                                                                        	20	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Spilderbuktax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Balsfjord                                         		POINT(18.498333333329498 69.43333333333338)
Forsåbukta                                                                                          	21	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Forsaabuktax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Dyrøy                                             		POINT(17.476666666666294 69.03333333333332)
Kipertneset                                                                                         	23	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Kipertnesetx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Sør-Troms                                         	Troms og Finnmark                                 	Ibestad                                           		POINT(17.1866666666665 68.77666666666666)
Foldvik                                                                                             	24	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Foldvikx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                               	Vedtatt                                                                                             	Sør-Troms                                         	Troms og Finnmark                                 	Gratangen                                         		POINT(17.436666666666323 68.69166666666666)
Dypingen                                                                                            	25	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Dypingenx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Sør-Troms                                         	Troms og Finnmark                                 	Harstad                                           		POINT(16.554999999999968 68.94999999999999)
Kasfjord                                                                                            	27	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Kasfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Sør-Troms                                         	Troms og Finnmark                                 	Harstad                                           		POINT(16.321666666666644 68.83500000000001)
Indre Lokkarfjord                                                                                   	47	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Indre_Lokkarfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                  	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Alta                                              		POINT(22.614999999152243 70.21333333335014)
Olderfjord - Seiland                                                                                	48	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Olderfjord_Seilandx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                 	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Alta                                              		POINT(23.43499999828874 70.39166666670262)
Kvalfjord                                                                                           	49	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Kvalfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hammerfest                                        		POINT(23.849999997722765 70.71666666671427)
Akkarfjordbotn                                                                                      	50	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Akkarfjordbotnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                     	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hammerfest                                        		POINT(23.404999998445547 70.78500000003109)
Gåsvika                                                                                             	51	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Gaasvikax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hammerfest                                        		POINT(23.178333332024312 70.65500000002609)
Fagervika                                                                                           	52	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Fagervikax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hammerfest                                        		POINT(23.443333331675024 70.60833333336731)
Fjordbotn                                                                                           	53	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Fjordbotnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hammerfest                                        		POINT(23.323333331873016 70.74500000002917)
Langstrandfjord - Vaerbotn/Krakebukta/Kuvika                                                        	55	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Vaerbotnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hammerfest                                        		POINT(23.187043266218016 70.67151501498617)
Øyfjorden                                                                                           	57	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Oyfjordenx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hasvik                                            		POINT(22.619999999194864 70.54666666668206)
Kipperfjordbotn                                                                                     	58	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Kipperfjordbotnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                    	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Hasvik                                            		POINT(22.46666666596763 70.52500000001318)
Loppa                                                                                               	59	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Loppax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Vest-Finnmark                                     	Troms og Finnmark                                 	Loppa                                             		POINT(21.439999999748192 70.3300000000043)
Tverfjord                                                                                           	2	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Tverfjordx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Kvænangen                                         		POINT(21.811666666276132 70.08166666667384)
Kågsundet sør om Laukøy                                                                             	3	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Kaagsundetx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Midt- og Nord-Troms                               	Troms og Finnmark                                 	Skjervøy                                          		POINT(20.811666666540155 70.06666666666871)
Trondheim/ Ilsvika                                                                                  	3160101	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3160101_Trondheim_Ilsvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                      	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Trondheim                                         		POINT(10.355833332613383 63.43400000012669)
Kvithyll                                                                                            	3162401	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3162401_Kvithyll.pdf' target='_blank' >FAKTAARK HER<a>                                                                               	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Indre Fosen                                       		POINT(9.893333333546982 63.56500000008202)
Selvabukta                                                                                          	3162202	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3162202_Selvabukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                             	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Orkland                                           		POINT(9.73000000086897 63.61666666638828)
Hommelvik                                                                                           	3166301	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3166301_Hommelvik.pdf' target='_blank' >FAKTAARK HER<a>                                                                              	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Malvik                                            		POINT(10.790000000794548 63.4183333330377)
Muruvik                                                                                             	3166302	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3166302_Muruvik.pdf' target='_blank' >FAKTAARK HER<a>                                                                                	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Malvik                                            		POINT(10.844985354658537 63.437664836444085)
Hestvika                                                                                            	3161701	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3161701_Hestvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                               	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Hitra                                             		POINT(9.206666667784827 63.56333333297518)
Kværnhusvika                                                                                        	3161702	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3161702_Kvernhusvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Hitra                                             		POINT(8.80181435895512 63.638497472238925)
Brekstad                                                                                            	3162101	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3162101_Brekstad.pdf' target='_blank' >FAKTAARK HER<a>                                                                               	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Ørland                                            		POINT(9.671332429161046 63.68682521470997)
Uthaug                                                                                              	3162102	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3162102_Uthaug.pdf' target='_blank' >FAKTAARK HER<a>                                                                                 	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Ørland                                            		POINT(9.591666667510232 63.73000000030442)
Kabelvågen / Lauvøya                                                                                	3163001	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3163001 Kabelvaagen_Lauvooya.pdf' target='_blank' >FAKTAARK HER<a>                                                                   	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Åfjord                                            		POINT(9.91833333312805 63.92999999972807)
Stokksundet                                                                                         	3163002	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3163002_Stokksundet' target='_blank' >FAKTAARK HER<a>                                                                                	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Åfjord                                            		POINT(10.045000000031823 64.04500000003844)
Allmeningen                                                                                         	3163201	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3163201_Allmeningen.pdf' target='_blank' >FAKTAARK HER<a>                                                                            	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Åfjord                                            		POINT(10.073333332725689 64.17499999983232)
Sandviksberget m/Strandholmen                                                                       	3163301	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3163301_Sandviksberget med Strandholmen.pdf' target='_blank' >FAKTAARK HER<a>                                                        	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Osen                                              		POINT(10.443333333757778 64.32833333291126)
Hopsfjorden                                                                                         	3163302	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3163302_Hopsfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                            	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Osen                                              		POINT(10.499999999304944 64.34000000010904)
Høyvika                                                                                             	3163303	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3163303_Hooyvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                               	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Osen                                              		POINT(10.466666402034868 64.33333386282537)
Stjørdal                                                                                            	3171401	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3171401_Stjoordal.pdf' target='_blank' >FAKTAARK HER<a>                                                                              	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Stjørdal                                          		POINT(10.883333333135884 63.46666666695116)
Steinvikholmen kai                                                                                  	3141402	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3141402_Steinvikholmen kai.pdf' target='_blank' >FAKTAARK HER<a>                                                                     	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Stjørdal                                          		POINT(10.830166673045655 63.54116369281389)
Lagstein                                                                                            	3171403	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3171403_Lagstein.pdf' target='_blank' >FAKTAARK HER<a>                                                                               	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Stjørdal                                          		POINT(10.888815763672463 63.54549311754921)
Åsenfjorden / Hyndøyvågen                                                                           	3171701	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3171701_Aasenfjorden_Hyndooyvaagen.pdf' target='_blank' >FAKTAARK HER<a>                                                             	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Frosta                                            		POINT(10.819999999969115 63.58666666676596)
Åsenfjorden / Lofjorden                                                                             	3171901	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3171901_Aasenfjorden_Lofjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                 	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Levanger                                          		POINT(10.901666666613364 63.588333333001785)
Fåneshavna                                                                                          	3171702	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3171702_Faaneshavna.pdf' target='_blank' >FAKTAARK HER<a>                                                                            	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Frosta                                            		POINT(10.80666666630459 63.638333333245754)
Skogn                                                                                               	3171902	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3171902_Skogn.pdf' target='_blank' >FAKTAARK HER<a>                                                                                  	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Levanger                                          		POINT(11.163333333057878 63.71333333305431)
Rørstadbukta                                                                                        	3171903	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3171903_Roorstadbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                          	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Levanger                                          		POINT(11.301666666217812 63.75500000006784)
Akrer Verdal/ Verdal havn/ Rinnleiret                                                               	3172101	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3172101_Aker Verdal_Verdal havn_Rinnleiret.pdf' target='_blank' >FAKTAARK HER<a>                                                     	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Verdal                                            		POINT(11.433333333565397 63.794999999810415)
Gipling                                                                                             	3172301	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3172301_Gipling.pdf' target='_blank' >FAKTAARK HER<a>                                                                                	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Inderøy                                           		POINT(10.99999999939184 63.8916666670448)
Kjerknesvågen                                                                                       	3172901	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3172901_Kjerknesvaagen.pdf' target='_blank' >FAKTAARK HER<a>                                                                         	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Inderøy                                           		POINT(11.188333332777704 63.91333333298318)
Bogatangen                                                                                          	3170201	99	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3170201_Bogatangen.pdf' target='_blank' >FAKTAARK HER<a>                                                                             	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Steinkjer                                         		POINT(11.466666666336355 64.01166666643772)
Malm                                                                                                	3172402	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3172402_Malm.pdf' target='_blank' >FAKTAARK HER<a>                                                                                   	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Steinkjer                                         		POINT(11.22833333336985 64.07166666704968)
Follafoss                                                                                           	3172401	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3172401_Follafoss.pdf' target='_blank' >FAKTAARK HER<a>                                                                              	Vedtatt                                                                                             	Inn-Trøndelag                                     	Trøndelag                                         	Steinkjer                                         		POINT(11.099999999801698 63.98000000035317)
Namsos m/Spillum                                                                                    	3170301	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3170301_Namsos med Spillum.pdf' target='_blank' >FAKTAARK HER<a>                                                                     	Vedtatt                                                                                             	Namdal                                            	Trøndelag                                         	Namsos                                            		POINT(11.499999999090244 64.44999999953038)
Fosnesvågen                                                                                         	3174801	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3174801_Fosnesvaagen.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Namdal                                            	Trøndelag                                         	Namsos                                            		POINT(11.31666666724794 64.68333333379391)
Varpvika / Movika                                                                                   	3174802	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3174802_Varpvika_Movika.pdf' target='_blank' >FAKTAARK HER<a>                                                                        	Vedtatt                                                                                             	Namdal                                            	Trøndelag                                         	Namsos                                            		POINT(11.41666666620681 64.69666666627022)
Løvmo kai                                                                                           	3175101	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3175101_Loovmo kai.pdf' target='_blank' >FAKTAARK HER<a>                                                                             	Vedtatt                                                                                             	Namdal                                            	Trøndelag                                         	Nærøysund                                         		POINT(11.319999998956483 64.74166666669875)
Kjeøytaren                                                                                          	3175102	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3175102_Kjeooytaren.pdf' target='_blank' >FAKTAARK HER<a>                                                                            	Vedtatt                                                                                             	Namdal                                            	Trøndelag                                         	Nærøysund                                         		POINT(11.550000000082843 64.79999999960488)
