navn	nodhavnnummer	kategori	lenke_faktaark	forvaltningsstatus	iua	fylke	kommune	informasjon	geom_wkt
Harstad havn                                                                                        	28	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Harstad_Havnx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Sør-Troms                                         	Troms og Finnmark                                 	Harstad                                           		POINT(16.5583333333333 68.80833333333332)
Alvestadholman                                                                                      	30	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Troms/Alvestadholmanx.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Sør-Troms                                         	Troms og Finnmark                                 	Harstad                                           		POINT(16.273333333333312 68.95166666666667)
Vestertana                                                                                          	0	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Finnmark/Vestertanax.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Øst-Finnmark                                      	Troms og Finnmark                                 	Tana                                              		POINT(27.972525743110456 70.51680321803661)
Risavika                                                                                            	111	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge111.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sør-Rogaland                                      	Rogaland                                          	Sola                                              	Sjøkart: 16, Havnedistrikt: Stavanger                                                               	POINT(5.580070250960371 58.925385638365285)
Eigersund havn                                                                                      	112	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge112.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sør-Rogaland                                      	Rogaland                                          	Eigersund                                         	Sjøkart: 13 og 467, Havnedistrikt: Eigersund                                                        	POINT(5.982889311571458 58.43785770535112)
Askrova                                                                                             	106	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge106.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sogn og Sunnfjord                                 	Vestland                                          	Kinn                                              	Sjøkart: 26, Havnedistrikt: Flora                                                                   	POINT(4.977983147583889 61.51998924000311)
Mongstad                                                                                            	107	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge107.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Bergen                                            	Vestland                                          	Alver                                             	Sjøkart: 24, Havnedistrikt: Bergen og Omland                                                        	POINT(5.050678966855863 60.81283948027191)
Jøssingfjord                                                                                        	151	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge151.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sør-Rogaland                                      	Rogaland                                          	Sokndal                                           	Sjøkart: 12, Havnedistrikt: Sokndal                                                                 	POINT(6.343396789270495 58.32015524855611)
Mekjarvik                                                                                           	154	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge154.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Sør-Rogaland                                      	Rogaland                                          	Randaberg                                         	Sjøkart: 16, Havnedistrikt: Stavanger                                                               	POINT(5.617154374361957 59.02460244691203)
Nesnaflaket                                                                                         	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Nesnaflaket.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Rana                                              	Nordland                                          	Nesna                                             		POINT(13.061227778614477 66.22902724521391)
Husøy                                                                                               	165	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge165.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Rogaland                                          	Karmøy                                            	Sjøkart: 17, Havnedistrikt: Karmsund                                                                	POINT(5.311268021797221 59.32905238911391)
Berakvam                                                                                            	159	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge159.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Rogaland                                          	Suldal                                            	Sjøkart: 15, Havnedistrikt: -                                                                       	POINT(6.02072816510443 59.37051505883787)
Håvik                                                                                               	164	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge164.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Rogaland                                          	Karmøy                                            	Sjøkart: 17, Havnedistrikt: Karmsund                                                                	POINT(5.325020178036552 59.31410300042067)
Sila                                                                                                	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Sila.pdf' target='_blank' >FAKTAARK HER<a>                                                                                                	Vedtatt                                                                                             	Rana                                              	Nordland                                          	Lurøy                                             		POINT(13.131089274693602 66.32031042658748)
Langevåg                                                                                            	168	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Vest/Placeofrefuge168.pdf' target='_blank' >FAKTAARK HER</a>                                                                                       	Vedtatt                                                                                             	Haugesund                                         	Vestland                                          	Bømlo                                             	Sjøkart: 19, Havnedistrikt: Karmsund                                                                	POINT(5.24395495498632 59.613063312582035)
Kvarøya                                                                                             	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Kvaroya SO.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Rana                                              	Nordland                                          	Lurøy                                             		POINT(12.96207744519435 66.47303434532148)
Aldersund                                                                                           	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Aldersundet.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Rana                                              	Nordland                                          	Lurøy                                             		POINT(13.064404311068175 66.38204388864548)
